row_Number,text,polarity
1190,film harmless escapist fun. Something recent Tomb Raider film lacked. can't wait get DVD. people give low score still go see Titanic without guilty conscience know. Anything Karen Kopins underwear got rate extra point two!,1
6122,"realized couple days ago makers film put play words title. movie primarily act ""riding giants,"" mostly people giants sport, RIDING giants, change emphasis.<br /><br />In teens lived block Wedge, one hardest-breaking best bodysurfing spots world. I've 15-to-18 foot surf, ridden hammered 10 12-foot waves many occasions. experience complete awe surfers film. idea Jeff Clark, appearances normal mortal, could get away riding Maverick's decade beyond grasp. first safety rule water sport ""Never surf/dive/swim yourself."" went sane people would not, lived tell it. wouldn't go water 75 degrees sharks left. <br /><br />In world warm water: first shot waves Jaws always makes skin tingle entire body. scary waves, uncontrolled-bowel-evacuation waves. see Laird Hamilton surviving 40-to-60 foot waves (I hardly type numbers), actually working faces like fun day Rincon, I'm blown away. dedication focus big-wave riders comparable anyone world. <br /><br />This great film. gave 9 instead 10 neglects mention great big-wave riders world outside Hamilton/Kalama crew, think deserved mention. Splice Ken Bradshaw outside Log Cabins 10 is!",1
22099,"stuffy melodrama quite easily worst film starring Ingrid Bergman I've seen. Even luminous screen presence can't save insufferably slow meandering movie that's nearly impossible sit without fast-forwarding lot it.<br /><br />Only die-hard Bergman fans; others likely fall asleep. suggest watch ""For Bell Tolls"" instead.",0
4745,"movie awesome...it made laugh, make bawl, talking animals it!! movie seen kinds people! one favorite movies, love much comment it!!!it rox! heart felt wonderful storyline makes great heartfelt movie!my favorite character shadow. think interesting charming. used golden retriever like shadow, miss much!!! best friend knew died, would happier place, miss heart!! movie best love everyone should! Love pets matter do, cherish forever!!!",1
11447,"stirring western spins tale famous rifle early west coveted one all. James Stewart cowboy wins prized Winchester shootout, lose robbery. story details Stewart's pursuit rifle certain man film. rifle changes hands time time, though owner fated lose violence. picture plenty action suspense Stewart closes quarry. great cast supports Stewart here, namely Stephen McNally, Dan Duryea, Millard Mitchell, John McIntire Jay C. Flippen. Shelley Winters seems miscast purpose role rather obscure. Tony Curtis Rock Hudson, teen heartthrobs later years, brief good roles.",1
14439,"Alien, Jurassic Park countless sci fi horror movies cup tea, add lot sugar you'll get one down. film begins jolly old England around 1100ad jumps present day California. hero Carver (Dean Cain) new Security Chief Military Advisor Science Lab 400 feet underground. arrives (Carver also helicopter pilot) lead Scientist soon find it's cloning lab something newly found clone. Dinosaur what? movies, hell breaks loose characters start getting picked off. special effects Monster pretty good ""direct video"" movie Dean Cain gets paid for. forget rest group find never seen before. Again, don't go high expectations you'll ok.",0
6457,"reading tepid reviews comments, felt come bat movie.<br /><br />Roeg's films tend little one another, expecting one like one liked probably mark.<br /><br />What film thoughtful unabashed look religious faith. film like it-in terms religious message-would Tolkin's `The Rapture.'<br /><br />I astonished anyone could say story muddled supernatural. simple movie Catholic faith, miracles, redemption--though would never guess till end. also movie think whose resolution turns, literally, pun.<br /><br />As (happily) fallen Catholic myself, know movie about, find sort fondness ultimate innocence relation God man. familiar kind theology film based, go right head.<br /><br />As film-as opposed story-`Cold Heaven' ground-breaking. `The Rapture' heavy pictorial significance cinematic imagery, `Cold Heaven' downplays cinematic qualities. striking shots, edgy effects, attempts fit content form. workmanlike shooting, subdued. dialogue acting put class high drama. simple story unfolds simply. may seem odd; end mystery revealed. looks ambiguous; single line ambiguity vanishes puff Catholic dogma.<br /><br />In regard, `Cold Heaven' heart exactly sort thing drives movie like `The Sting,' `The Sixth Sense,' `Final Descent,' Polanski's `A Pure Formality.' films trick sleeves. may frustrate along way, point-an obvious one, indeed--but fun is, least part, taken in.<br /><br />Still, even seems like little shaggy dog story punch line, worth watching way directs-and misdirects-you. Try it-especially are, ever been, Catholic.",1
4728,"I'm amazed see even one nay-sayer criticizing old film. don't ordinarily get good opera films, true grand opera rendition. Understandably, visuals great. It's dated. opera can't faulted; I'm opera buff. can't even detect one lip-sync; didn't know Tebaldi audio nothing would convince isn't Sophia Loren. EVERYTHING flair! dark makeup fine; brought role gorgeous life! rest cast wonderful, stunning ballet troupe. actors excellent; Loren truly marvelous. rival Amneris also terrific. Whoever didn't care 1953 job shamefully remiss. Verdi would enjoyed it! Naturally, Renata Tebaldi Aida engine behind scenes. love old movie!",1
22970,"Tom listening one old-time radio broadcasts, something kids 1950s today would watch TV. However, didn't television cartoon made people got entertainment - comedies music scary stories - radio. <br /><br />Tom literally shaking boots listening story ""phantom."" He's actually literally everything narrator saying, ""hair standing end, icy chills race spine, heart beats throat,"" etc. Jerry, meanwhile, watching Tom laughing butt scaredy- cat antics.<br /><br />We get taste see many years 194- cartoon Jerry tortures Tom reason sadistic pleasure. cat asks trouble, that's one thing, he's minding business Jerry physically (and case, mentally) abusing him, hard time rooting ""little guy.""<br /><br />These early T&M efforts also minute longer followed. Sometimes one minute makes difference. actually dragged awhile. could cut five minutes without missing anything sketches went long. That's usual Tom Jerry's. Usually, much faster-paced.",0
15919,"Kris Kristofferson, drugged-out peak mid-70s, finds barely able squeeze screen alongside La Streisand's humongous ego discount-store feminism.<br /><br />None characters really likable; _so_ glad Kristofferson's Ferrari went hill crashed.<br /><br />If want see good movie rock roll stardom, try _The Buddy Holly Story_ (made year half dreck).",0
19406,"rented (yes! paid money see!) film. OMG. one worst films ever seen. another reviewer put it, Ms. Colagrande, get films, PLEASE! Please never make appear another film! lady charisma cantaloupe. No, that's fair cantaloupe, probably going it. know act; affects disgusted look time (reminded much always-disgusted young sisters-in-law Europe). charming; pretty. real story. editing! WASN'T any, could see! It's pretty bad watching film and, get it, press ""forward forward"" remote, STILL nothing happens! mean!..... kept involuntarily screaming, ""Cut! Cut!"" thinking? Well, obviously, thought would make film together get PAID make love screen! Pretty good deal THEM; pretty raw deal viewer! think I'm going throw now....",0
7104,"saw film 1950s, wanted scientist too. something magical useful Science. took girl - friend along see second time. don't think impressed was! film comical yet serious, time synthetic fibres rather new. Lessons film could applied issues relating GM experimentation today.",1
486,"Despite reading ""initial comments"" someone curiously disliked film -- (WHY NEGATIVE COMMENT FIRST LIST?)it nice note virtually everyone else loved it! Obviously Church wanted stress certain points portray prophet Joseph Smith positive manner ~ thats whole idea. fact, points extremely effective. already know Joseph Smith human... despite that, horrific negative attempts stirred adversary, showed able complete remarkable, God-given work. I'd recommend anyone!",1
22131,"searched video store everywhere find movie, huge elvis fan am, found huge disappointment. kurt russel ""elvis moves"" voice imitation great, dubbed singing voice elvis didnt work me. voice didnt always match russels mouth, hard get lost plot bothered noticeable. also, many freaking discrepancies film, people dont know much elvis would probably think facts. songs sung earlier recorded real life, time got first guitar wrong, im pretty sure brother jesse garron buried unmarked grave, one huge headstone reading JESSE GARRON. know tv movie, skipped important events, like come-back-special, dragged scenes way long. want see good movie shows elvis prime rent THATS WAY IS, another elvis concert. hearing seeing real elvis preform way truly see talent. (brilliant statement know, still...go rent good elvis flic.)",0
3191,"year 1995, many people talked great premiere BRAVEHEART Mel Gibson, also saw another fine, yet underrated movie Scottish history, ROB ROY. Although different film, especially due historical period story set in, ROB ROY much common marvelous BRAVEHEART also spirit epic movies.<br /><br />It film discusses similar themes, like fight dignity, courage, honor, revenge, family key happiness. also leads us bliss Scottish highlands human soul finds rest surrounded grandeur nature. Robert Roy MacGregor (Liam Neeson), main character true hero (so universal epics), sort ""Scottish Robin Hood"" struggles lead people oppression imposed cold hearted lords. Although worsens situation acts, suffer lot, two things stay mind undeniably: HONOR given LOVE woman, Mary MacGregor (Jessica Lange). leads unexpected events...<br /><br />Except interesting content quite vivid action, movie filled truly stunning visuals. factor sets locations film well wardrobe. Many memorable moments stay mind viewer allow insight artistic images. me, splendid scene Highlands Rob Roy tells boys honor really means. Then, sends away beautifully makes love woman. scene escapes Marguis Montrose (John Hurt) waterfall also worth look stunning visual. <br /><br />Of course, graphic violence, like duel instance, don't think violence would harmful many modern films. justification like epic's: bloodshed cruelty times really serious would point hiding it. disturbing scene, me, rape done Rob Roy's wife villain story: Archibald Cunningham (Tim Roth). It's truly disgusting kids definitely stay away. However, rest O.K. Yet, one aspect made really love movie, performances.<br /><br />All cast perfect jobs, leading Lian Neeson fits well role tall, brave, strong Scottish man supporting cast Brian Cox portrays wicked Killearn, silent witness terrible acts feels comfortable evil war. Jessica Lange fine Mary MacGregor beautiful moments film. chemistry Ms Lange Mr Neeson many scenes. John Hurt, one best British actors, terrific job Marguis Montrose, corrupted man money aim achieved means. like calmness portrayal. real villain played Tim Roth truly depicts wretched side character, Archibald - man mocks love, loves war finds true lust rape slaughter. But, like good epic, exceptional evil must find end...<br /><br />And one aspect: musical score: memorable sentimental tunes bound sound ears long. final moment touched tears beauty conveys deeply combined blissful tunes grandeur locations. Scotland remains heart visitor movie reminded permanent effect. was, if, second journey Scotland.<br /><br />ROB ROY nice movie, well directed, photographed acted. perhaps equal BRAVEHEART spectacular sets crowds extras battle scenes, fairly long film much attention placed one significant feature cinema have: stunning entertainment combined heartfelt education. really enjoyed film, hesitate call metaphorically ""highlands entertainment"" rate 9/10",1
16578,"wow, Naked Brothers Band. say. guess say show sucks. number one: talent, probably can't even play instruments. number 2: commercial said famous nobody even heard till crappy show came on. Look, really don't hate bad, i'd give like 4 10, annoys everyone says great talent Nat deep writes deep lyrics. Deep ass! talks hardcore wrestlers inner feelings. wow, could read says walls bathroom would deep that. didn't get famous themselves, parents famous celebrities wanted kids made bad show. feeling canceled soon.",0
7336,"Steve Carell comes first starring role 40 Year Old Virgin, supporting roles films Bewitched, Bruce Almighty, Anchorman, work Daily Show, gotten small taste comedy Carell truly makes own. tell Ferrell influenced ""comedic air"" Carell takes another level, everything innocent, lovable, hilarious. would hesitate say Steve Carell one next great comedians time.<br /><br />The 40 Year Old Virgin two hours non-stop laughs (or 4 hours see twice like did), perfect supporting cast great leads charm audience entire movie. script perfect many great lines want see movie try remember all. music fit tone movie great, tell director knew doing.<br /><br />Filled sex jokes, nudity, lot language, movie isn't everyone liked Wedding Crashers, Anchorman, movie along lines, absolutely love 40 Year Old Virgin.",1
